suicide_rate_rank,country,Region,year,sex,age,population,suicides_per_100k,next_stat_100k,nextstat_per_100k_diff,annual_gdp($),generation,Happiness Score,gdp_per_capita,life_expectancy,Freedom,trust_factor,dystopia_residual
17,Cyprus,Western Europe,2015,female,75+ years,29924,0.0,0.0,0.0,"19,676,167,240",Silent,5.689,1.20813,0.92356,0.40672,0.06146,1.88931
17,Cyprus,Western Europe,2015,male,5-14 years,46906,0.0,0.0,0.0,"19,676,167,240",Generation Z,5.689,1.20813,0.92356,0.40672,0.06146,1.88931
17,Cyprus,Western Europe,2015,male,75+ years,22961,0.0,0.0,0.0,"19,676,167,240",Silent,5.689,1.20813,0.92356,0.40672,0.06146,1.88931
17,Cyprus,Western Europe,2016,female,15-24 years,58057,0.0,0.0,0.0,"20,153,871,681",Millenials,5.546,1.31857,0.8488,0.29507,0.05228,2.04497
17,Cyprus,Western Europe,2016,female,75+ years,31234,0.0,0.0,0.0,"20,153,871,681",Silent,5.546,1.31857,0.8488,0.29507,0.05228,2.04497
1,Czech Republic,Central and Eastern Europe,2015,male,75+ years,264401,54.84,51.16,3.680000000000007,"186,829,940,546",Silent,6.505,1.17898,0.84483,0.46364,0.02652,2.67782
2,Czech Republic,Central and Eastern Europe,2016,male,75+ years,273637,51.16,31.02,20.139999999999997,"195,305,084,919",Silent,6.596,1.30915,0.76376,0.41418,0.03986,2.96211
3,Czech Republic,Central and Eastern Europe,2015,male,55-74 years,1202553,31.02,26.45,4.57,"186,829,940,546",Boomers,6.505,1.17898,0.84483,0.46364,0.02652,2.67782
4,Czech Republic,Central and Eastern Europe,2016,male,55-74 years,1205832,26.45,25.21,1.2399999999999984,"195,305,084,919",Boomers,6.596,1.30915,0.76376,0.41418,0.03986,2.96211
5,Czech Republic,Central and Eastern Europe,2015,male,35-54 years,1602521,25.21,23.86,1.3500000000000014,"186,829,940,546",Generation X,6.505,1.17898,0.84483,0.46364,0.02652,2.67782
6,Czech Republic,Central and Eastern Europe,2016,male,35-54 years,1617906,23.86,20.48,3.379999999999999,"195,305,084,919",Generation X,6.596,1.30915,0.76376,0.41418,0.03986,2.96211
7,Czech Republic,Central and Eastern Europe,2015,male,25-34 years,737221,20.48,18.79,1.6900000000000013,"186,829,940,546",Millenials,6.505,1.17898,0.84483,0.46364,0.02652,2.67782
8,Czech Republic,Central and Eastern Europe,2016,male,25-34 years,729199,18.79,14.78,4.01,"195,305,084,919",Millenials,6.596,1.30915,0.76376,0.41418,0.03986,2.96211
9,Czech Republic,Central and Eastern Europe,2016,male,15-24 years,527890,14.78,10.61,4.17,"195,305,084,919",Millenials,6.596,1.30915,0.76376,0.41418,0.03986,2.96211
10,Czech Republic,Central and Eastern Europe,2015,male,15-24 years,546597,10.61,9.34,1.2699999999999996,"186,829,940,546",Millenials,6.505,1.17898,0.84483,0.46364,0.02652,2.67782
11,Czech Republic,Central and Eastern Europe,2015,female,75+ years,471092,9.34,6.33,3.01,"186,829,940,546",Silent,6.505,1.17898,0.84483,0.46364,0.02652,2.67782
12,Czech Republic,Central and Eastern Europe,2016,female,55-74 years,1358948,6.33,5.9,0.4299999999999997,"195,305,084,919",Boomers,6.596,1.30915,0.76376,0.41418,0.03986,2.96211
13,Czech Republic,Central and Eastern Europe,2016,female,35-54 years,1541109,5.9,5.89,0.010000000000000675,"195,305,084,919",Generation X,6.596,1.30915,0.76376,0.41418,0.03986,2.96211
14,Czech Republic,Central and Eastern Europe,2015,female,55-74 years,1358421,5.89,5.63,0.2599999999999998,"186,829,940,546",Boomers,6.505,1.17898,0.84483,0.46364,0.02652,2.67782
15,Czech Republic,Central and Eastern Europe,2015,female,35-54 years,1528289,5.63,5.2,0.4299999999999997,"186,829,940,546",Generation X,6.505,1.17898,0.84483,0.46364,0.02652,2.67782
16,Czech Republic,Central and Eastern Europe,2016,female,75+ years,480884,5.2,4.91,0.29000000000000004,"195,305,084,919",Silent,6.596,1.30915,0.76376,0.41418,0.03986,2.96211
17,Czech Republic,Central and Eastern Europe,2016,female,25-34 years,691963,4.91,4.38,0.5300000000000002,"195,305,084,919",Millenials,6.596,1.30915,0.76376,0.41418,0.03986,2.96211
18,Czech Republic,Central and Eastern Europe,2016,female,15-24 years,502574,4.38,3.65,0.73,"195,305,084,919",Millenials,6.596,1.30915,0.76376,0.41418,0.03986,2.96211
19,Czech Republic,Central and Eastern Europe,2015,female,15-24 years,521060,3.65,2.86,0.79,"186,829,940,546",Millenials,6.505,1.17898,0.84483,0.46364,0.02652,2.67782
20,Czech Republic,Central and Eastern Europe,2015,female,25-34 years,698584,2.86,0.97,1.89,"186,829,940,546",Millenials,6.505,1.17898,0.84483,0.46364,0.02652,2.67782
21,Czech Republic,Central and Eastern Europe,2015,female,5-14 years,515457,0.97,0.37,0.6,"186,829,940,546",Generation Z,6.505,1.17898,0.84483,0.46364,0.02652,2.67782
22,Czech Republic,Central and Eastern Europe,2015,male,5-14 years,543129,0.37,0,0.37,"186,829,940,546",Generation Z,6.505,1.17898,0.84483,0.46364,0.02652,2.67782
1,Denmark,Western Europe,2015,male,75+ years,178633,31.91,20.3,11.61,"301,298,464,861",Silent,7.527,1.32548,0.87464,0.64938,0.48357,2.49204
2,Denmark,Western Europe,2015,male,35-54 years,783366,20.3,19.33,0.9700000000000024,"301,298,464,861",Generation X,7.527,1.32548,0.87464,0.64938,0.48357,2.49204
3,Denmark,Western Europe,2015,male,55-74 years,651856,19.33,12.63,6.6999999999999975,"301,298,464,861",Boomers,7.527,1.32548,0.87464,0.64938,0.48357,2.49204
4,Denmark,Western Europe,2015,female,75+ years,253300,12.63,9.95,2.6800000000000015,"301,298,464,861",Silent,7.527,1.32548,0.87464,0.64938,0.48357,2.49204
5,Denmark,Western Europe,2015,female,55-74 years,673655,9.95,8.75,1.1999999999999993,"301,298,464,861",Boomers,7.527,1.32548,0.87464,0.64938,0.48357,2.49204
6,Denmark,Western Europe,2015,male,25-34 years,342769,8.75,6.6,2.1500000000000004,"301,298,464,861",Millenials,7.527,1.32548,0.87464,0.64938,0.48357,2.49204
7,Denmark,Western Europe,2015,female,35-54 years,772844,6.6,4.81,1.79,"301,298,464,861",Generation X,7.527,1.32548,0.87464,0.64938,0.48357,2.49204
8,Denmark,Western Europe,2015,male,15-24 years,374051,4.81,4.53,0.27999999999999936,"301,298,464,861",Millenials,7.527,1.32548,0.87464,0.64938,0.48357,2.49204
9,Denmark,Western Europe,2015,female,25-34 years,331400,4.53,1.68,2.8500000000000005,"301,298,464,861",Millenials,7.527,1.32548,0.87464,0.64938,0.48357,2.49204
10,Denmark,Western Europe,2015,female,15-24 years,356882,1.68,0.93,0.7499999999999999,"301,298,464,861",Millenials,7.527,1.32548,0.87464,0.64938,0.48357,2.49204
11,Denmark,Western Europe,2015,female,5-14 years,323821,0.93,0.0,0.93,"301,298,464,861",Generation Z,7.527,1.32548,0.87464,0.64938,0.48357,2.49204
12,Denmark,Western Europe,2015,male,5-14 years,340483,0.0,0,0.0,"301,298,464,861",Generation Z,7.527,1.32548,0.87464,0.64938,0.48357,2.49204
1,Ecuador,Latin America and Caribbean,2015,male,75+ years,191306,20.91,15.68,5.23,"99,290,381,000",Silent,5.975,0.86402,0.79075,0.48574,0.1809,2.53942
2,Ecuador,Latin America and Caribbean,2015,male,15-24 years,1492713,15.68,14.31,1.3699999999999992,"99,290,381,000",Millenials,5.975,0.86402,0.79075,0.48574,0.1809,2.53942
3,Ecuador,Latin America and Caribbean,2015,male,25-34 years,1293193,14.31,12.45,1.8600000000000012,"99,290,381,000",Millenials,5.975,0.86402,0.79075,0.48574,0.1809,2.53942
4,Ecuador,Latin America and Caribbean,2015,male,55-74 years,867314,12.45,11.18,1.2699999999999996,"99,290,381,000",Boomers,5.975,0.86402,0.79075,0.48574,0.1809,2.53942
5,Ecuador,Latin America and Caribbean,2015,male,35-54 years,1833181,11.18,7.6,3.58,"99,290,381,000",Generation X,5.975,0.86402,0.79075,0.48574,0.1809,2.53942
6,Ecuador,Latin America and Caribbean,2015,female,15-24 years,1448112,7.6,4.36,3.2399999999999993,"99,290,381,000",Millenials,5.975,0.86402,0.79075,0.48574,0.1809,2.53942
7,Ecuador,Latin America and Caribbean,2015,female,25-34 years,1283175,4.36,2.45,1.9100000000000001,"99,290,381,000",Millenials,5.975,0.86402,0.79075,0.48574,0.1809,2.53942
8,Ecuador,Latin America and Caribbean,2015,female,35-54 years,1876229,2.45,2.36,0.0900000000000003,"99,290,381,000",Generation X,5.975,0.86402,0.79075,0.48574,0.1809,2.53942
9,Ecuador,Latin America and Caribbean,2015,female,55-74 years,932718,2.36,2.23,0.1299999999999999,"99,290,381,000",Boomers,5.975,0.86402,0.79075,0.48574,0.1809,2.53942
10,Ecuador,Latin America and Caribbean,2015,male,5-14 years,1569519,2.23,2.07,0.16000000000000014,"99,290,381,000",Generation Z,5.975,0.86402,0.79075,0.48574,0.1809,2.53942
11,Ecuador,Latin America and Caribbean,2015,female,75+ years,241437,2.07,1.79,0.2799999999999998,"99,290,381,000",Silent,5.975,0.86402,0.79075,0.48574,0.1809,2.53942
12,Ecuador,Latin America and Caribbean,2015,female,5-14 years,1505127,1.79,0,1.79,"99,290,381,000",Generation Z,5.975,0.86402,0.79075,0.48574,0.1809,2.53942
1,Estonia,Central and Eastern Europe,2015,male,75+ years,34253,58.39,34.77,23.619999999999997,"22,566,956,982",Silent,5.429,1.15174,0.77361,0.44888,0.15184,1.58782
2,Estonia,Central and Eastern Europe,2015,male,55-74 years,126556,34.77,29.93,4.840000000000003,"22,566,956,982",Boomers,5.429,1.15174,0.77361,0.44888,0.15184,1.58782
3,Estonia,Central and Eastern Europe,2015,male,15-24 years,70165,29.93,27.11,2.8200000000000003,"22,566,956,982",Millenials,5.429,1.15174,0.77361,0.44888,0.15184,1.58782
4,Estonia,Central and Eastern Europe,2015,male,35-54 years,177053,27.11,25.14,1.9699999999999989,"22,566,956,982",Generation X,5.429,1.15174,0.77361,0.44888,0.15184,1.58782
5,Estonia,Central and Eastern Europe,2015,male,25-34 years,99448,25.14,10.37,14.770000000000001,"22,566,956,982",Millenials,5.429,1.15174,0.77361,0.44888,0.15184,1.58782
6,Estonia,Central and Eastern Europe,2015,female,75+ years,86804,10.37,6.96,3.4099999999999993,"22,566,956,982",Silent,5.429,1.15174,0.77361,0.44888,0.15184,1.58782
7,Estonia,Central and Eastern Europe,2015,female,55-74 years,172429,6.96,6.17,0.79,"22,566,956,982",Boomers,5.429,1.15174,0.77361,0.44888,0.15184,1.58782
8,Estonia,Central and Eastern Europe,2015,female,35-54 years,178380,6.17,2.16,4.01,"22,566,956,982",Generation X,5.429,1.15174,0.77361,0.44888,0.15184,1.58782
9,Estonia,Central and Eastern Europe,2015,female,25-34 years,92783,2.16,1.51,0.6500000000000001,"22,566,956,982",Millenials,5.429,1.15174,0.77361,0.44888,0.15184,1.58782
10,Estonia,Central and Eastern Europe,2015,female,15-24 years,66216,1.51,1.47,0.040000000000000036,"22,566,956,982",Millenials,5.429,1.15174,0.77361,0.44888,0.15184,1.58782
11,Estonia,Central and Eastern Europe,2015,female,5-14 years,67802,1.47,1.4,0.07000000000000006,"22,566,956,982",Generation Z,5.429,1.15174,0.77361,0.44888,0.15184,1.58782
12,Estonia,Central and Eastern Europe,2015,male,5-14 years,71561,1.4,0,1.4,"22,566,956,982",Generation Z,5.429,1.15174,0.77361,0.44888,0.15184,1.58782
1,Finland,Western Europe,2015,male,75+ years,178936,29.62,26.98,2.6400000000000006,"232,464,833,066",Silent,7.406,1.29025,0.88911,0.64169,0.41372,2.61955
2,Finland,Western Europe,2015,male,35-54 years,704220,26.98,25.75,1.2300000000000004,"232,464,833,066",Generation X,7.406,1.29025,0.88911,0.64169,0.41372,2.61955
3,Finland,Western Europe,2015,male,25-34 years,357334,25.75,23.88,1.870000000000001,"232,464,833,066",Millenials,7.406,1.29025,0.88911,0.64169,0.41372,2.61955
4,Finland,Western Europe,2015,male,55-74 years,665885,23.88,17.77,6.109999999999999,"232,464,833,066",Boomers,7.406,1.29025,0.88911,0.64169,0.41372,2.61955
5,Finland,Western Europe,2015,male,15-24 years,332082,17.77,8.89,8.879999999999999,"232,464,833,066",Millenials,7.406,1.29025,0.88911,0.64169,0.41372,2.61955
6,Finland,Western Europe,2015,female,25-34 years,337446,8.89,8.06,0.8300000000000001,"232,464,833,066",Millenials,7.406,1.29025,0.88911,0.64169,0.41372,2.61955
7,Finland,Western Europe,2015,female,35-54 years,682671,8.06,7.73,0.33000000000000007,"232,464,833,066",Generation X,7.406,1.29025,0.88911,0.64169,0.41372,2.61955
8,Finland,Western Europe,2015,female,55-74 years,711135,7.73,7.1,0.6300000000000008,"232,464,833,066",Boomers,7.406,1.29025,0.88911,0.64169,0.41372,2.61955
9,Finland,Western Europe,2015,female,75+ years,295795,7.1,3.77,3.3299999999999996,"232,464,833,066",Silent,7.406,1.29025,0.88911,0.64169,0.41372,2.61955
10,Finland,Western Europe,2015,female,15-24 years,317937,3.77,1.64,2.13,"232,464,833,066",Millenials,7.406,1.29025,0.88911,0.64169,0.41372,2.61955
11,Finland,Western Europe,2015,male,5-14 years,305748,1.64,0.0,1.64,"232,464,833,066",Generation Z,7.406,1.29025,0.88911,0.64169,0.41372,2.61955
12,Finland,Western Europe,2015,female,5-14 years,292608,0.0,0,0.0,"232,464,833,066",Generation Z,7.406,1.29025,0.88911,0.64169,0.41372,2.61955
1,Georgia,Central and Eastern Europe,2015,male,75+ years,87600,30.82,12.03,18.79,"13,993,546,732",Silent,4.297,0.7419,0.72926,0.40577,0.38331,1.59541
2,Georgia,Central and Eastern Europe,2015,female,75+ years,166300,12.03,10.62,1.4100000000000001,"13,993,546,732",Silent,4.297,0.7419,0.72926,0.40577,0.38331,1.59541
3,Georgia,Central and Eastern Europe,2015,male,55-74 years,320200,10.62,9.58,1.0399999999999991,"13,993,546,732",Boomers,4.297,0.7419,0.72926,0.40577,0.38331,1.59541
4,Georgia,Central and Eastern Europe,2015,male,35-54 years,480200,9.58,6.99,2.59,"13,993,546,732",Generation X,4.297,0.7419,0.72926,0.40577,0.38331,1.59541
5,Georgia,Central and Eastern Europe,2015,male,25-34 years,271700,6.99,6.86,0.1299999999999999,"13,993,546,732",Millenials,4.297,0.7419,0.72926,0.40577,0.38331,1.59541
6,Georgia,Central and Eastern Europe,2015,male,15-24 years,247800,6.86,3.09,3.7700000000000005,"13,993,546,732",Millenials,4.297,0.7419,0.72926,0.40577,0.38331,1.59541
7,Georgia,Central and Eastern Europe,2015,female,55-74 years,420700,3.09,1.84,1.2499999999999998,"13,993,546,732",Boomers,4.297,0.7419,0.72926,0.40577,0.38331,1.59541
8,Georgia,Central and Eastern Europe,2015,female,25-34 years,272100,1.84,1.55,0.29000000000000004,"13,993,546,732",Millenials,4.297,0.7419,0.72926,0.40577,0.38331,1.59541
9,Georgia,Central and Eastern Europe,2015,female,35-54 years,517700,1.55,0.87,0.68,"13,993,546,732",Generation X,4.297,0.7419,0.72926,0.40577,0.38331,1.59541
10,Georgia,Central and Eastern Europe,2015,female,15-24 years,230200,0.87,0.43,0.44,"13,993,546,732",Millenials,4.297,0.7419,0.72926,0.40577,0.38331,1.59541
11,Georgia,Central and Eastern Europe,2015,male,5-14 years,234300,0.43,0.0,0.43,"13,993,546,732",Generation Z,4.297,0.7419,0.72926,0.40577,0.38331,1.59541
12,Georgia,Central and Eastern Europe,2015,female,5-14 years,209600,0.0,0,0.0,"13,993,546,732",Generation Z,4.297,0.7419,0.72926,0.40577,0.38331,1.59541
1,Germany,Western Europe,2015,male,75+ years,3487628,49.58,24.42,25.159999999999997,"3,375,611,100,742",Silent,6.75,1.32792,0.89186,0.61477,0.21843,2.11569
2,Germany,Western Europe,2015,male,55-74 years,9436572,24.42,19.12,5.300000000000001,"3,375,611,100,742",Boomers,6.75,1.32792,0.89186,0.61477,0.21843,2.11569
3,Germany,Western Europe,2015,male,35-54 years,11854531,19.12,13.51,5.610000000000001,"3,375,611,100,742",Generation X,6.75,1.32792,0.89186,0.61477,0.21843,2.11569
4,Germany,Western Europe,2015,male,25-34 years,5336932,13.51,11.89,1.6199999999999992,"3,375,611,100,742",Millenials,6.75,1.32792,0.89186,0.61477,0.21843,2.11569
5,Germany,Western Europe,2015,female,75+ years,5338738,11.89,9.03,2.860000000000001,"3,375,611,100,742",Silent,6.75,1.32792,0.89186,0.61477,0.21843,2.11569
6,Germany,Western Europe,2015,female,55-74 years,10054932,9.03,8.32,0.7099999999999991,"3,375,611,100,742",Boomers,6.75,1.32792,0.89186,0.61477,0.21843,2.11569
7,Germany,Western Europe,2015,male,15-24 years,4520300,8.32,6.89,1.4300000000000006,"3,375,611,100,742",Millenials,6.75,1.32792,0.89186,0.61477,0.21843,2.11569
8,Germany,Western Europe,2015,female,35-54 years,11616616,6.89,3.81,3.0799999999999996,"3,375,611,100,742",Generation X,6.75,1.32792,0.89186,0.61477,0.21843,2.11569
9,Germany,Western Europe,2015,female,25-34 years,5061297,3.81,3.24,0.5699999999999998,"3,375,611,100,742",Millenials,6.75,1.32792,0.89186,0.61477,0.21843,2.11569
10,Germany,Western Europe,2015,female,15-24 years,4195185,3.24,0.37,2.87,"3,375,611,100,742",Millenials,6.75,1.32792,0.89186,0.61477,0.21843,2.11569
11,Germany,Western Europe,2015,female,5-14 years,3517216,0.37,0.16,0.21,"3,375,611,100,742",Generation Z,6.75,1.32792,0.89186,0.61477,0.21843,2.11569
12,Germany,Western Europe,2015,male,5-14 years,3716736,0.16,0,0.16,"3,375,611,100,742",Generation Z,6.75,1.32792,0.89186,0.61477,0.21843,2.11569
1,Greece,Western Europe,2015,male,75+ years,495592,14.12,12.0,2.119999999999999,"195,541,761,243",Silent,4.857,1.15406,0.88213,0.07699,0.01397,1.80101
2,Greece,Western Europe,2015,male,55-74 years,1157869,12.0,9.43,2.5700000000000003,"195,541,761,243",Boomers,4.857,1.15406,0.88213,0.07699,0.01397,1.80101
3,Greece,Western Europe,2015,male,35-54 years,1558791,9.43,6.87,2.5599999999999996,"195,541,761,243",Generation X,4.857,1.15406,0.88213,0.07699,0.01397,1.80101
4,Greece,Western Europe,2015,male,25-34 years,669357,6.87,3.56,3.31,"195,541,761,243",Millenials,4.857,1.15406,0.88213,0.07699,0.01397,1.80101
5,Greece,Western Europe,2015,male,15-24 years,561302,3.56,3.01,0.5500000000000003,"195,541,761,243",Millenials,4.857,1.15406,0.88213,0.07699,0.01397,1.80101
6,Greece,Western Europe,2015,female,55-74 years,1294582,3.01,2.56,0.44999999999999973,"195,541,761,243",Boomers,4.857,1.15406,0.88213,0.07699,0.01397,1.80101
7,Greece,Western Europe,2015,female,25-34 years,662893,2.56,2.21,0.3500000000000001,"195,541,761,243",Millenials,4.857,1.15406,0.88213,0.07699,0.01397,1.80101
8,Greece,Western Europe,2015,female,35-54 years,1627797,2.21,1.75,0.45999999999999996,"195,541,761,243",Generation X,4.857,1.15406,0.88213,0.07699,0.01397,1.80101
9,Greece,Western Europe,2015,female,75+ years,683939,1.75,0.55,1.2,"195,541,761,243",Silent,4.857,1.15406,0.88213,0.07699,0.01397,1.80101
10,Greece,Western Europe,2015,female,15-24 years,541528,0.55,0.0,0.55,"195,541,761,243",Millenials,4.857,1.15406,0.88213,0.07699,0.01397,1.80101
11,Greece,Western Europe,2015,female,5-14 years,526126,0.0,0,0.0,"195,541,761,243",Generation Z,4.857,1.15406,0.88213,0.07699,0.01397,1.80101
11,Greece,Western Europe,2015,male,5-14 years,551510,0.0,0.0,0.0,"195,541,761,243",Generation Z,4.857,1.15406,0.88213,0.07699,0.01397,1.80101
1,Guatemala,Latin America and Caribbean,2015,male,15-24 years,1753669,7.13,6.79,0.33999999999999986,"63,767,597,194",Millenials,6.123,0.74553,0.64425,0.57733,0.09472,2.74255
2,Guatemala,Latin America and Caribbean,2015,male,25-34 years,1267501,6.79,6.72,0.07000000000000028,"63,767,597,194",Millenials,6.123,0.74553,0.64425,0.57733,0.09472,2.74255
3,Guatemala,Latin America and Caribbean,2015,male,35-54 years,1295156,6.72,6.7,0.019999999999999574,"63,767,597,194",Generation X,6.123,0.74553,0.64425,0.57733,0.09472,2.74255
4,Guatemala,Latin America and Caribbean,2015,male,75+ years,134357,6.7,5.96,0.7400000000000002,"63,767,597,194",Silent,6.123,0.74553,0.64425,0.57733,0.09472,2.74255
5,Guatemala,Latin America and Caribbean,2015,male,55-74 years,537002,5.96,4.85,1.1100000000000003,"63,767,597,194",Boomers,6.123,0.74553,0.64425,0.57733,0.09472,2.74255
6,Guatemala,Latin America and Caribbean,2015,female,15-24 years,1711787,4.85,1.79,3.0599999999999996,"63,767,597,194",Millenials,6.123,0.74553,0.64425,0.57733,0.09472,2.74255
7,Guatemala,Latin America and Caribbean,2015,female,75+ years,167861,1.79,1.45,0.3400000000000001,"63,767,597,194",Silent,6.123,0.74553,0.64425,0.57733,0.09472,2.74255
8,Guatemala,Latin America and Caribbean,2015,female,25-34 years,1313068,1.45,1.31,0.1399999999999999,"63,767,597,194",Millenials,6.123,0.74553,0.64425,0.57733,0.09472,2.74255
9,Guatemala,Latin America and Caribbean,2015,female,35-54 years,1530419,1.31,0.92,0.39,"63,767,597,194",Generation X,6.123,0.74553,0.64425,0.57733,0.09472,2.74255
10,Guatemala,Latin America and Caribbean,2015,female,55-74 years,653079,0.92,0.68,0.24,"63,767,597,194",Boomers,6.123,0.74553,0.64425,0.57733,0.09472,2.74255
11,Guatemala,Latin America and Caribbean,2015,female,5-14 years,1906150,0.68,0.55,0.13,"63,767,597,194",Generation Z,6.123,0.74553,0.64425,0.57733,0.09472,2.74255
12,Guatemala,Latin America and Caribbean,2015,male,5-14 years,1988348,0.55,0,0.55,"63,767,597,194",Generation Z,6.123,0.74553,0.64425,0.57733,0.09472,2.74255
1,Hungary,Central and Eastern Europe,2015,male,75+ years,241730,91.42,86.84,4.579999999999998,"122,879,042,002",Silent,4.8,1.12094,0.75905,0.32112,0.02758,1.24074
2,Hungary,Central and Eastern Europe,2016,male,75+ years,246437,86.84,46.55,40.290000000000006,"125,816,640,421",Silent,5.145,1.24142,0.67608,0.1977,0.04472,1.95473
3,Hungary,Central and Eastern Europe,2015,male,55-74 years,1065443,46.55,46.51,0.03999999999999915,"122,879,042,002",Boomers,4.8,1.12094,0.75905,0.32112,0.02758,1.24074
4,Hungary,Central and Eastern Europe,2016,male,55-74 years,1064355,46.51,32.94,13.57,"125,816,640,421",Boomers,5.145,1.24142,0.67608,0.1977,0.04472,1.95473
5,Hungary,Central and Eastern Europe,2015,male,35-54 years,1432703,32.94,31.27,1.6699999999999982,"122,879,042,002",Generation X,4.8,1.12094,0.75905,0.32112,0.02758,1.24074
6,Hungary,Central and Eastern Europe,2016,male,35-54 years,1439105,31.27,23.9,7.370000000000001,"125,816,640,421",Generation X,5.145,1.24142,0.67608,0.1977,0.04472,1.95473
7,Hungary,Central and Eastern Europe,2015,female,75+ years,514721,23.9,23.03,0.8699999999999974,"122,879,042,002",Silent,4.8,1.12094,0.75905,0.32112,0.02758,1.24074
8,Hungary,Central and Eastern Europe,2016,female,75+ years,521024,23.03,20.23,2.8000000000000007,"125,816,640,421",Silent,5.145,1.24142,0.67608,0.1977,0.04472,1.95473
9,Hungary,Central and Eastern Europe,2015,male,25-34 years,637775,20.23,15.48,4.75,"122,879,042,002",Millenials,4.8,1.12094,0.75905,0.32112,0.02758,1.24074
10,Hungary,Central and Eastern Europe,2016,male,25-34 years,633114,15.48,13.4,2.08,"125,816,640,421",Millenials,5.145,1.24142,0.67608,0.1977,0.04472,1.95473
11,Hungary,Central and Eastern Europe,2015,female,55-74 years,1350675,13.4,11.96,1.4399999999999995,"122,879,042,002",Boomers,4.8,1.12094,0.75905,0.32112,0.02758,1.24074
12,Hungary,Central and Eastern Europe,2016,female,55-74 years,1346205,11.96,11.85,0.11000000000000121,"125,816,640,421",Boomers,5.145,1.24142,0.67608,0.1977,0.04472,1.95473
13,Hungary,Central and Eastern Europe,2015,male,15-24 years,582471,11.85,10.21,1.6399999999999988,"122,879,042,002",Millenials,4.8,1.12094,0.75905,0.32112,0.02758,1.24074
14,Hungary,Central and Eastern Europe,2016,male,15-24 years,568065,10.21,9.23,0.9800000000000004,"125,816,640,421",Millenials,5.145,1.24142,0.67608,0.1977,0.04472,1.95473
15,Hungary,Central and Eastern Europe,2015,female,35-54 years,1429644,9.23,8.45,0.7800000000000011,"122,879,042,002",Generation X,4.8,1.12094,0.75905,0.32112,0.02758,1.24074
16,Hungary,Central and Eastern Europe,2016,female,35-54 years,1432415,8.45,4.98,3.469999999999999,"125,816,640,421",Generation X,5.145,1.24142,0.67608,0.1977,0.04472,1.95473
17,Hungary,Central and Eastern Europe,2016,female,25-34 years,602785,4.98,4.42,0.5600000000000005,"125,816,640,421",Millenials,5.145,1.24142,0.67608,0.1977,0.04472,1.95473
18,Hungary,Central and Eastern Europe,2015,female,25-34 years,610907,4.42,2.72,1.6999999999999997,"122,879,042,002",Millenials,4.8,1.12094,0.75905,0.32112,0.02758,1.24074
19,Hungary,Central and Eastern Europe,2015,female,15-24 years,551149,2.72,2.61,0.11000000000000032,"122,879,042,002",Millenials,4.8,1.12094,0.75905,0.32112,0.02758,1.24074
20,Hungary,Central and Eastern Europe,2016,female,15-24 years,536865,2.61,0.4,2.21,"125,816,640,421",Millenials,5.145,1.24142,0.67608,0.1977,0.04472,1.95473
21,Hungary,Central and Eastern Europe,2015,male,5-14 years,499016,0.4,0.21,0.19000000000000003,"122,879,042,002",Generation Z,4.8,1.12094,0.75905,0.32112,0.02758,1.24074
22,Hungary,Central and Eastern Europe,2015,female,5-14 years,473285,0.21,0,0.21,"122,879,042,002",Generation Z,4.8,1.12094,0.75905,0.32112,0.02758,1.24074
1,Iceland,Western Europe,2016,male,25-34 years,25029,31.96,30.08,1.8800000000000026,"20,304,098,101",Millenials,7.501,1.42666,0.86733,0.56624,0.14975,2.83137
2,Iceland,Western Europe,2016,male,55-74 years,33247,30.08,29.03,1.0499999999999972,"20,304,098,101",Boomers,7.501,1.42666,0.86733,0.56624,0.14975,2.83137
3,Iceland,Western Europe,2015,male,15-24 years,24116,29.03,25.51,3.5199999999999996,"16,942,247,374",Millenials,7.561,1.30232,0.94784,0.62877,0.14145,2.70201
4,Iceland,Western Europe,2015,male,35-54 years,43119,25.51,24.99,0.5200000000000031,"16,942,247,374",Generation X,7.561,1.30232,0.94784,0.62877,0.14145,2.70201
5,Iceland,Western Europe,2016,male,35-54 years,44024,24.99,24.9,0.08999999999999986,"20,304,098,101",Generation X,7.501,1.42666,0.86733,0.56624,0.14975,2.83137
6,Iceland,Western Europe,2016,male,15-24 years,24099,24.9,24.87,0.029999999999997584,"20,304,098,101",Millenials,7.501,1.42666,0.86733,0.56624,0.14975,2.83137
7,Iceland,Western Europe,2015,male,25-34 years,24128,24.87,18.74,6.130000000000003,"16,942,247,374",Millenials,7.561,1.30232,0.94784,0.62877,0.14145,2.70201
8,Iceland,Western Europe,2015,female,55-74 years,32013,18.74,17.92,0.8199999999999967,"16,942,247,374",Boomers,7.561,1.30232,0.94784,0.62877,0.14145,2.70201
9,Iceland,Western Europe,2015,female,75+ years,11158,17.92,15.55,2.370000000000001,"16,942,247,374",Silent,7.561,1.30232,0.94784,0.62877,0.14145,2.70201
10,Iceland,Western Europe,2015,male,55-74 years,32159,15.55,11.46,4.09,"16,942,247,374",Boomers,7.561,1.30232,0.94784,0.62877,0.14145,2.70201
11,Iceland,Western Europe,2016,male,75+ years,8723,11.46,8.61,2.8500000000000014,"20,304,098,101",Silent,7.501,1.42666,0.86733,0.56624,0.14975,2.83137
